"pedigree","parent1","parent2","yield","twt","prot","ht"
"MN11015/MN10061","MN11015","MN10061",92.267857145,63.782431532858,14.7103709218178,83.2789688051024
"MN11015/MN10077","MN11015","MN10077",83.444147265,63.332431532858,13.8603709218178,81.4289688051024
"MN11015/MN10079","MN11015","MN10079",86.185494025,62.632431532858,14.4103709218178,78.6289688051024
"MN11015/MN10095","MN11015","MN10095",87.38483323,62.932431532858,14.4603709218178,81.1289688051024
"MN11015/MN10099","MN11015","MN10099",90.98285085,63.132431532858,13.8103709218178,77.4289688051024
"MN11015/MN10106","MN11015","MN10106",80.56002203,61.882431532858,15.0103709218178,75.9289688051024
"MN11015/MN10110","MN11015","MN10110",88.469949655,63.482431532858,14.5603709218178,80.7789688051024
"MN11015/MN10117","MN11015","MN10117",81.41669289,62.932431532858,14.4103709218178,74.6289688051024
"MN11015/MN10125","MN11015","MN10125",87.927391445,62.932431532858,14.4103709218178,83.9289688051024
"MN11015/MN10159","MN11015","MN10159",86.38538389,62.782431532858,13.7603709218178,82.1289688051024
"MN11015/MN10162","MN11015","MN10162",83.10147892,62.382431532858,13.6603709218178,77.4289688051024
"MN11015/MN10164","MN11015","MN10164",90.211847075,62.832431532858,13.8103709218178,75.9289688051024
"MN11015/MN10177","MN11015","MN10177",89.954845815,62.282431532858,14.4103709218178,76.7789688051024
"MN11015/MN10183","MN11015","MN10183",87.299166145,62.082431532858,14.0603709218178,74.9289688051024
"MN11015/MN10187","MN11015","MN10187",88.983952175,63.632431532858,15.0103709218178,79.6289688051024
"MN11015/MN10190","MN11015","MN10190",82.387586535,62.932431532858,14.3603709218178,79.2789688051024
"MN11015/MN10195","MN11015","MN10195",85.300267465,63.582431532858,14.4603709218178,84.0789688051024
"MN11015/MN10202","MN11015","MN10202",81.816472625,63.582431532858,14.2103709218178,79.7789688051024
"MN11015/MN10205","MN11015","MN10205",84.357929515,62.732431532858,14.2603709218178,85.1289688051024
"MN11015/MN10220","MN11015","MN10220",73.22120831,63.482431532858,14.3103709218178,77.2789688051024
"MN11015/MN10245","MN11015","MN10245",84.357929515,62.632431532858,13.3603709218178,81.1289688051024
"MN11015/MN10279","MN11015","MN10279",89.783511645,61.582431532858,13.9603709218178,76.2789688051024
"MN11015/MN10288","MN11015","MN10288",87.156387665,63.432431532858,14.3103709218178,79.5789688051024
"MN11015/MN10289","MN11015","MN10289",86.670940845,62.932431532858,14.3103709218178,78.7789688051024
"MN11015/MN10292","MN11015","MN10292",85.300267465,64.132431532858,14.1103709218178,78.7789688051024
"MN11015/MN10318","MN11015","MN10318",86.356828195,62.432431532858,14.6603709218178,80.7789688051024
